Name,Sex
"Braund, Mr. Owen Harris",male
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female
"Heikkinen, Miss. Laina",female
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female
"Allen, Mr. William Henry",male
"Moran, Mr. James",male
"McCarthy, Mr. Timothy J",male
"Palsson, Master. Gosta Leonard",male
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female
"Nasser, Mrs. Nicholas (Adele Achem)",female
"Sandstrom, Miss. Marguerite Rut",female
"Bonnell, Miss. Elizabeth",female
"Saundercock, Mr. William Henry",male
"Andersson, Mr. Anders Johan",male
"Vestrom, Miss. Hulda Amanda Adolfina",female
"Hewlett, Mrs. (Mary D Kingcome) ",female
"Rice, Master. Eugene",male
"Williams, Mr. Charles Eugene",male
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female
"Masselmani, Mrs. Fatima",female
"Fynney, Mr. Joseph J",male
"Beesley, Mr. Lawrence",male
"McGowan, Miss. Anna ""Annie""",female
"Sloper, Mr. William Thompson",male
"Palsson, Miss. Torborg Danira",female
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female
"Emir, Mr. Farred Chehab",male
"Fortune, Mr. Charles Alexander",male
"O'Dwyer, Miss. Ellen ""Nellie""",female
"Todoroff, Mr. Lalio",male
"Uruchurtu, Don. Manuel E",male
"Spencer, Mrs. William Augustus (Marie Eugenie)",female
"Glynn, Miss. Mary Agatha",female
"Wheadon, Mr. Edward H",male
"Meyer, Mr. Edgar Joseph",male
"Holverson, Mr. Alexander Oskar",male
"Mamee, Mr. Hanna",male
"Cann, Mr. Ernest Charles",male
"Vander Planke, Miss. Augusta Maria",female
"Nicola-Yarred, Miss. Jamila",female
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female
"Kraeff, Mr. Theodor",male
"Laroche, Miss. Simonne Marie Anne Andree",female
"Devaney, Miss. Margaret Delia",female
"Rogers, Mr. William John",male
